ID Major Occupation Group,Major Occupation Group,ID Minor Occupation Group,Minor Occupation Group,ID Broad Occupation,Broad Occupation,ID Detailed Occupation,Detailed Occupation,ID Year,Year,ID Workforce Status,Workforce Status,Total Population,Total Population MOE Appx,Average Wage,Average Wage Appx MOE,Record Count,Slug Detailed Occupation,PUMS Industry,ID PUMS Industry,Slug PUMS Industry,ID Industry Sector,Industry Sector,Slug Industry Sector
"510000-530000","Production, Transportation, & Material Moving Occupations","510000","Production Occupations","510000","Production Occupations","513020","Butchers & other meat, poultry, & fish processing workers",2018,"2018","true","true",15355,3042.127177132327,29282.924454575055,4817.149101478182,115,"butchers-other-meat-poultry-fish-processing-workers","Wholesale Trade","42","wholesale-trade-42","42","Wholesale Trade","wholesale-trade"
"510000-530000","Production, Transportation, & Material Moving Occupations","530000","Transportation & Material Moving Occupations","537000","Material Moving Occupations","5371XX","Miscellaneous material moving workers, including mine shuttle car operators, & tank car, truck, & ship loaders",2018,"2018","true","true",2949,1333.238547160646,31846.97422855205,9175.323840203779,25,"miscellaneous-material-moving-workers-including-mine-shuttle-car-operators-tank-car-truck-ship-loaders","Wholesale Trade","42","wholesale-trade-42","42","Wholesale Trade","wholesale-trade"
"110000-290000","Management, business, science, & arts occupations","110000-130000","Management, business, & financial occupations","110000","Management occupations","111021","General & operations managers",2018,"2018","true","true",52882,5644.843084575387,107781.37568548844,9785.421358252655,519,"general-operations-managers","Wholesale Trade","42","wholesale-trade-42","42","Wholesale Trade","wholesale-trade"
"410000-430000","Sales & Office Occupations","430000","Office & Administrative Support Occupations","430000","Office & Administrative Support Occupations","439021","Data entry keyers",2018,"2018","true","true",9175,2351.60550784734,34355.10833787466,4435.286569782286,107,"data-entry-keyers","Wholesale Trade","42","wholesale-trade-42","42","Wholesale Trade","wholesale-trade"
"410000-430000","Sales & Office Occupations","430000","Office & Administrative Support Occupations","430000","Office & Administrative Support Occupations","436014","Secretaries and administrative assistants, except legal, medical, and executive",2018,"2018","true","true",63887,6204.234371017431,38648.54219168219,3720.294142449861,692,"secretaries-and-administrative-assistants-except-legal-medical-and-executive","Wholesale Trade","42","wholesale-trade-42","42","Wholesale Trade","wholesale-trade"
"110000-290000","Management, business, science, & arts occupations","110000-130000","Management, business, & financial occupations","110000","Management occupations","1110XX","Chief executives & legislators",2018,"2018","true","true",73592,6658.603404565969,184592.51930916405,14241.253221156141,817,"chief-executives-legislators","Wholesale Trade","42","wholesale-trade-42","42","Wholesale Trade","wholesale-trade"
"510000-530000","Production, Transportation, & Material Moving Occupations","530000","Transportation & Material Moving Occupations","537000","Material Moving Occupations","5370XX","Conveyor operators & tenders, & hoist & winch operators",2018,"2018","true","true",1880,1064.5129588691668,14420.898404255318,11249.04394312084,19,"conveyor-operators-tenders-hoist-winch-operators","Wholesale Trade","42","wholesale-trade-42","42","Wholesale Trade","wholesale-trade"
"410000-430000","Sales & Office Occupations","430000","Office & Administrative Support Occupations","430000","Office & Administrative Support Occupations","436011","Executive secretaries and executive administrative assistants",2018,"2018","true","true",5343,1794.56661974445,61268.00467901928,18019.75479437383,54,"executive-secretaries-and-executive-administrative-assistants","Wholesale Trade","42","wholesale-trade-42","42","Wholesale Trade","wholesale-trade"
"510000-530000","Production, Transportation, & Material Moving Occupations","530000","Transportation & Material Moving Occupations","537000","Material Moving Occupations","537081","Refuse & recyclable material collectors",2018,"2018","true","true",6820,2027.4821539810773,28033.87697947214,7259.865537846729,65,"refuse-recyclable-material-collectors","Wholesale Trade","42","wholesale-trade-42","42","Wholesale Trade","wholesale-trade"
"410000-430000","Sales & Office Occupations","430000","Office & Administrative Support Occupations","430000","Office & Administrative Support Occupations","439022","Word processors & typists",2018,"2018","true","true",5775,1865.7023777200566,34623.899047619045,6366.267030726173,65,"word-processors-typists","Wholesale Trade","42","wholesale-trade-42","42","Wholesale Trade","wholesale-trade"
"110000-290000","Management, business, science, & arts occupations","110000-130000","Management, business, & financial occupations","110000","Management occupations","112021","Marketing managers",2018,"2018","true","true",27001,4033.9031092007294,101161.46390874412,13487.926178593376,267,"marketing-managers","Wholesale Trade","42","wholesale-trade-42","42","Wholesale Trade","wholesale-trade"
"110000-290000","Management, business, science, & arts occupations","110000-130000","Management, business, & financial occupations","110000","Management occupations","112022","Sales managers",2018,"2018","true","true",25294,3904.3323127438202,123797.06234680161,15059.05641503255,238,"sales-managers","Wholesale Trade","42","wholesale-trade-42","42","Wholesale Trade","wholesale-trade"
"410000-430000","Sales & Office Occupations","430000","Office & Administrative Support Occupations","430000","Office & Administrative Support Occupations","435111","Weighers, measurers, checkers, & samplers, recordkeeping",2018,"2018","true","true",6822,2027.7794033987711,36667.60847258868,7251.622091234241,68,"weighers-measurers-checkers-samplers-recordkeeping","Wholesale Trade","42","wholesale-trade-42","42","Wholesale Trade","wholesale-trade"
"410000-430000","Sales & Office Occupations","430000","Office & Administrative Support Occupations","430000","Office & Administrative Support Occupations","439041","Insurance claims & policy processing clerks",2018,"2018","true","true",1499,950.5465674108307,39307.82521681121,18521.59872046307,9,"insurance-claims-policy-processing-clerks","Wholesale Trade","42","wholesale-trade-42","42","Wholesale Trade","wholesale-trade"
"510000-530000","Production, Transportation, & Material Moving Occupations","530000","Transportation & Material Moving Occupations","537000","Material Moving Occupations","537070","Pumping station operators",2018,"2018","true","true",669,635.0191844038335,32387.60538116592,18090.08267402438,11,"pumping-station-operators","Wholesale Trade","42","wholesale-trade-42","42","Wholesale Trade","wholesale-trade"
"410000-430000","Sales & Office Occupations","430000","Office & Administrative Support Occupations","430000","Office & Administrative Support Occupations","439051","Mail clerks & mail machine operators, except postal service",2018,"2018","true","true",986,770.9243868125947,28351.92190669371,4513.126063162562,9,"mail-clerks-mail-machine-operators-except-postal-service","Wholesale Trade","42","wholesale-trade-42","42","Wholesale Trade","wholesale-trade"
"410000-430000","Sales & Office Occupations","430000","Office & Administrative Support Occupations","430000","Office & Administrative Support Occupations","435071","Shipping, receiving, & traffic clerks",2018,"2018","true","true",67154,6360.820554622588,33327.03176281383,2623.1488356072045,575,"shipping-receiving-traffic-clerks","Wholesale Trade","42","wholesale-trade-42","42","Wholesale Trade","wholesale-trade"
"110000-290000","Management, business, science, & arts occupations","110000-130000","Management, business, & financial occupations","110000","Management occupations","113012","Administrative services managers",2018,"2018","true","true",1405,920.2607092080251,89212.3871886121,90994.39306061088,16,"administrative-services-managers","Wholesale Trade","42","wholesale-trade-42","42","Wholesale Trade","wholesale-trade"
"110000-290000","Management, business, science, & arts occupations","110000-130000","Management, business, & financial occupations","110000","Management occupations","113013","Facilities managers",2018,"2018","true","true",2284,1173.3281523169583,85604.03590192644,21242.491971234736,21,"facilities-managers","Wholesale Trade","42","wholesale-trade-42","42","Wholesale Trade","wholesale-trade"
"510000-530000","Production, Transportation, & Material Moving Occupations","530000","Transportation & Material Moving Occupations","537000","Material Moving Occupations","537065","Stockers and order fillers",2018,"2018","true","true",113334,8262.09521735399,31265.01940282704,1658.6710813001457,973,"stockers-and-order-fillers","Wholesale Trade","42","wholesale-trade-42","42","Wholesale Trade","wholesale-trade"
"410000-430000","Sales & Office Occupations","430000","Office & Administrative Support Occupations","430000","Office & Administrative Support Occupations","435061","Production, planning, & expediting clerks",2018,"2018","true","true",8501,2263.58818966461,47715.61098694271,8905.995547139022,81,"production-planning-expediting-clerks","Wholesale Trade","42","wholesale-trade-42","42","Wholesale Trade","wholesale-trade"
"110000-290000","Management, business, science, & arts occupations","110000-130000","Management, business, & financial occupations","110000","Management occupations","113021","Computer & information systems managers",2018,"2018","true","true",11657,2650.642916331168,109129.95470532727,13110.284509075895,129,"computer-information-systems-managers","Wholesale Trade","42","wholesale-trade-42","42","Wholesale Trade","wholesale-trade"
"510000-530000","Production, Transportation, & Material Moving Occupations","530000","Transportation & Material Moving Occupations","537000","Material Moving Occupations","537064","Packers & packagers, hand",2018,"2018","true","true",67610,6382.370418091061,22280.48340482177,1247.7197598914477,528,"packers-packagers-hand","Wholesale Trade","42","wholesale-trade-42","42","Wholesale Trade","wholesale-trade"
"410000-430000","Sales & Office Occupations","430000","Office & Administrative Support Occupations","430000","Office & Administrative Support Occupations","439061","Office clerks, general",2018,"2018","true","true",41386,4993.9175406775275,32961.43002464602,3356.3672391333153,397,"office-clerks-general","Wholesale Trade","42","wholesale-trade-42","42","Wholesale Trade","wholesale-trade"
"410000-430000","Sales & Office Occupations","430000","Office & Administrative Support Occupations","430000","Office & Administrative Support Occupations","435032","Dispatchers, except police, fire, and ambulance",2018,"2018","true","true",4526,1651.6782873917505,40778.00574458683,5300.589825945418,41,"dispatchers-except-police-fire-and-ambulance","Wholesale Trade","42","wholesale-trade-42","42","Wholesale Trade","wholesale-trade"
"110000-290000","Management, business, science, & arts occupations","110000-130000","Management, business, & financial occupations","110000","Management occupations","113031","Financial managers",2018,"2018","true","true",22137,3652.5989210552634,102821.63947237657,11407.346373559461,237,"financial-managers","Wholesale Trade","42","wholesale-trade-42","42","Wholesale Trade","wholesale-trade"
"510000-530000","Production, Transportation, & Material Moving Occupations","530000","Transportation & Material Moving Occupations","537000","Material Moving Occupations","537063","Machine feeders & offbearers",2018,"2018","true","true",810,698.7407820411192,30531.49135802469,20610.112557624205,5,"machine-feeders-offbearers","Wholesale Trade","42","wholesale-trade-42","42","Wholesale Trade","wholesale-trade"
"410000-430000","Sales & Office Occupations","430000","Office & Administrative Support Occupations","430000","Office & Administrative Support Occupations","435021","Couriers & messengers",2018,"2018","true","true",1414,923.2034305842246,29222.90523338048,12581.79122685138,14,"couriers-messengers","Wholesale Trade","42","wholesale-trade-42","42","Wholesale Trade","wholesale-trade"
"110000-290000","Management, business, science, & arts occupations","110000-130000","Management, business, & financial occupations","110000","Management occupations","113051","Industrial production managers",2018,"2018","true","true",10703,2539.8728488510715,66021.96898065963,8859.71998597296,94,"industrial-production-managers","Wholesale Trade","42","wholesale-trade-42","42","Wholesale Trade","wholesale-trade"
"410000-430000","Sales & Office Occupations","430000","Office & Administrative Support Occupations","430000","Office & Administrative Support Occupations","439XXX","Miscellaneous office & administrative support workers, including desktop publishers",2018,"2018","true","true",11841,2671.478912315853,45729.19128451989,5787.971198421999,107,"miscellaneous-office-administrative-support-workers-including-desktop-publishers","Wholesale Trade","42","wholesale-trade-42","42","Wholesale Trade","wholesale-trade"
"410000-430000","Sales & Office Occupations","430000","Office & Administrative Support Occupations","430000","Office & Administrative Support Occupations","435011","Cargo & freight agents",2018,"2018","true","true",1323,893.0026736523797,36935.925170068025,10531.979534092045,11,"cargo-freight-agents","Wholesale Trade","42","wholesale-trade-42","42","Wholesale Trade","wholesale-trade"
"110000-290000","Management, business, science, & arts occupations","110000-130000","Management, business, & financial occupations","110000","Management occupations","113061","Purchasing managers",2018,"2018","true","true",8973,2325.576121405795,79233.18555667001,16616.82176609265,92,"purchasing-managers","Wholesale Trade","42","wholesale-trade-42","42","Wholesale Trade","wholesale-trade"
"510000-530000","Production, Transportation, & Material Moving Occupations","530000","Transportation & Material Moving Occupations","537000","Material Moving Occupations","537062","Laborers & freight, stock, & material movers, hand",2018,"2018","true","true",178648,10370.846593940947,31653.388361470603,1807.4437540254894,1617,"laborers-freight-stock-material-movers-hand","Wholesale Trade","42","wholesale-trade-42","42","Wholesale Trade","wholesale-trade"
"450000-490000","Natural resources, construction, & maintenance occupations","450000","Farming, Fishing, & Forestry Occupations","450000","Farming, Fishing, & Forestry Occupations","452011","Agricultural inspectors",2018,"2018","true","true",1312,889.2825502914966,32882.71951219512,9737.35670732739,10,"agricultural-inspectors","Wholesale Trade","42","wholesale-trade-42","42","Wholesale Trade","wholesale-trade"
"410000-430000","Sales & Office Occupations","430000","Office & Administrative Support Occupations","430000","Office & Administrative Support Occupations","434YYY","Other information and records clerks",2018,"2018","true","true",782,686.5576321617941,42813.065217391304,9431.361777936783,7,"other-information-and-records-clerks","Wholesale Trade","42","wholesale-trade-42","42","Wholesale Trade","wholesale-trade"
"110000-290000","Management, business, science, & arts occupations","110000-130000","Management, business, & financial occupations","110000","Management occupations","113071","Transportation, storage, & distribution managers",2018,"2018","true","true",40963,4968.3379888881755,60601.163879598666,5958.727384865203,351,"transportation-storage-distribution-managers","Wholesale Trade","42","wholesale-trade-42","42","Wholesale Trade","wholesale-trade"
"410000-430000","Sales & Office Occupations","430000","Office & Administrative Support Occupations","430000","Office & Administrative Support Occupations","434XXX","Correspondence clerks & order clerks",2018,"2018","true","true",16201,3124.7993647851226,35042.29615455836,4724.203459636549,137,"correspondence-clerks-order-clerks","Wholesale Trade","42","wholesale-trade-42","42","Wholesale Trade","wholesale-trade"
"510000-530000","Production, Transportation, & Material Moving Occupations","530000","Transportation & Material Moving Occupations","537000","Material Moving Occupations","537061","Cleaners of vehicles & equipment",2018,"2018","true","true",6323,1952.2128436496178,18808.028309346828,3965.0914013959487,56,"cleaners-of-vehicles-equipment","Wholesale Trade","42","wholesale-trade-42","42","Wholesale Trade","wholesale-trade"
"450000-490000","Natural resources, construction, & maintenance occupations","450000","Farming, Fishing, & Forestry Occupations","450000","Farming, Fishing, & Forestry Occupations","452041","Graders & sorters, agricultural products",2018,"2018","true","true",23093,3730.623254294537,22939.141644654224,3861.969349736498,149,"graders-sorters-agricultural-products","Wholesale Trade","42","wholesale-trade-42","42","Wholesale Trade","wholesale-trade"
"410000-430000","Sales & Office Occupations","430000","Office & Administrative Support Occupations","430000","Office & Administrative Support Occupations","434171","Receptionists & information clerks",2018,"2018","true","true",13663,2869.643502579024,29121.842201566273,4586.818711975083,123,"receptionists-information-clerks","Wholesale Trade","42","wholesale-trade-42","42","Wholesale Trade","wholesale-trade"
"110000-290000","Management, business, science, & arts occupations","110000-130000","Management, business, & financial occupations","110000","Management occupations","113121","Human resources managers",2018,"2018","true","true",10748,2545.206222419367,106748.7348343878,19594.467149596483,105,"human-resources-managers","Wholesale Trade","42","wholesale-trade-42","42","Wholesale Trade","wholesale-trade"
"510000-530000","Production, Transportation, & Material Moving Occupations","530000","Transportation & Material Moving Occupations","537000","Material Moving Occupations","537051","Industrial truck & tractor operators",2018,"2018","true","true",64685,6242.845392675765,36284.94637087423,1766.0087626134966,518,"industrial-truck-tractor-operators","Wholesale Trade","42","wholesale-trade-42","42","Wholesale Trade","wholesale-trade"
"450000-490000","Natural resources, construction, & maintenance occupations","450000","Farming, Fishing, & Forestry Occupations","450000","Farming, Fishing, & Forestry Occupations","4520XX","Miscellaneous agricultural workers, including animal breeders",2018,"2018","true","true",6939,2045.0932899752258,28638.881971465627,5199.437047407258,81,"miscellaneous-agricultural-workers-including-animal-breeders","Wholesale Trade","42","wholesale-trade-42","42","Wholesale Trade","wholesale-trade"
"110000-290000","Management, business, science, & arts occupations","110000-130000","Management, business, & financial occupations","110000","Management occupations","113131","Training & development managers",2018,"2018","true","true",1502,951.4972631202596,107093.11984021305,30034.228467252397,14,"training-development-managers","Wholesale Trade","42","wholesale-trade-42","42","Wholesale Trade","wholesale-trade"
"450000-490000","Natural resources, construction, & maintenance occupations","450000","Farming, Fishing, & Forestry Occupations","450000","Farming, Fishing, & Forestry Occupations","454011","Forest & conservation workers",2018,"2018","true","true",617,609.8407551106479,20546.003241491086,18274.826029945594,8,"forest-conservation-workers","Wholesale Trade","42","wholesale-trade-42","42","Wholesale Trade","wholesale-trade"
"410000-430000","Sales & Office Occupations","430000","Office & Administrative Support Occupations","430000","Office & Administrative Support Occupations","434071","File clerks",2018,"2018","true","true",2774,1293.0757226298504,24413.58579668349,10356.63664626992,30,"file-clerks","Wholesale Trade","42","wholesale-trade-42","42","Wholesale Trade","wholesale-trade"
"510000-530000","Production, Transportation, & Material Moving Occupations","530000","Transportation & Material Moving Occupations","531000-536000","Transportation Occupations","537021","Crane & tower operators",2018,"2018","true","true",2439,1212.487070944439,33604.78966789668,10514.289885361313,26,"crane-tower-operators","Wholesale Trade","42","wholesale-trade-42","42","Wholesale Trade","wholesale-trade"
"450000-490000","Natural resources, construction, & maintenance occupations","450000","Farming, Fishing, & Forestry Occupations","450000","Farming, Fishing, & Forestry Occupations","454020","Logging workers",2018,"2018","true","true",773,682.5954402752315,28631.460543337646,15029.418705543003,7,"logging-workers","Wholesale Trade","42","wholesale-trade-42","42","Wholesale Trade","wholesale-trade"
"110000-290000","Management, business, science, & arts occupations","110000-130000","Management, business, & financial occupations","110000","Management occupations","119041","Architectural & engineering managers",2018,"2018","true","true",1409,921.5697454920128,156176.55926188786,60117.97143431602,19,"architectural-engineering-managers","Wholesale Trade","42","wholesale-trade-42","42","Wholesale Trade","wholesale-trade"
"410000-430000","Sales & Office Occupations","430000","Office & Administrative Support Occupations","430000","Office & Administrative Support Occupations","434051","Customer service representatives",2018,"2018","true","true",114336,8298.510122304395,49002.78574552197,2884.936256262497,1102,"customer-service-representatives","Wholesale Trade","42","wholesale-trade-42","42","Wholesale Trade","wholesale-trade"
"510000-530000","Production, Transportation, & Material Moving Occupations","530000","Transportation & Material Moving Occupations","531000-536000","Transportation Occupations","5360XX","Miscellaneous transportation workers, including bridge & lock tenders & traffic technicians",2018,"2018","true","true",631,616.7206945729304,51830.74960380349,8533.010353166139,6,"miscellaneous-transportation-workers-including-bridge-lock-tenders-traffic-technicians","Wholesale Trade","42","wholesale-trade-42","42","Wholesale Trade","wholesale-trade"
"410000-430000","Sales & Office Occupations","430000","Office & Administrative Support Occupations","430000","Office & Administrative Support Occupations","434041","Credit authorizers, checkers, & clerks",2018,"2018","true","true",1161,836.5447581583259,53786.20241171404,16592.45426198874,8,"credit-authorizers-checkers-clerks","Wholesale Trade","42","wholesale-trade-42","42","Wholesale Trade","wholesale-trade"
"110000-290000","Management, business, science, & arts occupations","110000-130000","Management, business, & financial occupations","110000","Management occupations","119141","Property, real estate, & community association managers",2018,"2018","true","true",353,461.2767855445609,56239.798866855526,27234.88454449837,5,"property-real-estate-community-association-managers","Wholesale Trade","42","wholesale-trade-42","42","Wholesale Trade","wholesale-trade"
"110000-290000","Management, business, science, & arts occupations","110000-130000","Management, business, & financial occupations","110000","Management occupations","1191XX","Other managers",2018,"2018","true","true",33536,4495.53802227095,114241.16361521947,15234.723888163717,320,"other-managers","Wholesale Trade","42","wholesale-trade-42","42","Wholesale Trade","wholesale-trade"
"450000-490000","Natural resources, construction, & maintenance occupations","470000","Construction & Extraction Occupations","470000","Construction & Extraction Occupations","472031","Carpenters",2018,"2018","true","true",3542,1461.1469387858867,41657.4788255223,10259.16886419406,31,"carpenters","Wholesale Trade","42","wholesale-trade-42","42","Wholesale Trade","wholesale-trade"
"410000-430000","Sales & Office Occupations","430000","Office & Administrative Support Occupations","430000","Office & Administrative Support Occupations","4330XX","Other financial clerks",2018,"2018","true","true",3552,1463.2080376357583,98328.36514639639,35230.88821473811,39,"other-financial-clerks","Wholesale Trade","42","wholesale-trade-42","42","Wholesale Trade","wholesale-trade"
"510000-530000","Production, Transportation, & Material Moving Occupations","530000","Transportation & Material Moving Occupations","531000-536000","Transportation Occupations","536051","Transportation inspectors",2018,"2018","true","true",2202,1152.0735811795555,32875.136693914625,7523.976900157838,16,"transportation-inspectors","Wholesale Trade","42","wholesale-trade-42","42","Wholesale Trade","wholesale-trade"
"450000-490000","Natural resources, construction, & maintenance occupations","470000","Construction & Extraction Occupations","470000","Construction & Extraction Occupations","472040","Carpet, floor, & tile installers & finishers",2018,"2018","true","true",1848,1055.4145035796978,39264.03354978355,16130.813121545949,15,"carpet-floor-tile-installers-finishers","Wholesale Trade","42","wholesale-trade-42","42","Wholesale Trade","wholesale-trade"
"410000-430000","Sales & Office Occupations","430000","Office & Administrative Support Occupations","430000","Office & Administrative Support Occupations","433061","Procurement clerks",2018,"2018","true","true",2885,1318.6923206631689,57681.459618717505,16341.952525873707,30,"procurement-clerks","Wholesale Trade","42","wholesale-trade-42","42","Wholesale Trade","wholesale-trade"
"110000-290000","Management, business, science, & arts occupations","110000-130000","Management, business, & financial occupations","130000","Business & financial operations occupations","131021","Buyers & purchasing agents, farm products",2018,"2018","true","true",7303,2098.04501310761,65460.60468300698,14259.360182502764,63,"buyers-purchasing-agents-farm-products","Wholesale Trade","42","wholesale-trade-42","42","Wholesale Trade","wholesale-trade"
"410000-430000","Sales & Office Occupations","430000","Office & Administrative Support Occupations","430000","Office & Administrative Support Occupations","433051","Payroll & timekeeping clerks",2018,"2018","true","true",3001,1344.941509434983,41686.899700099966,6286.704823383962,29,"payroll-timekeeping-clerks","Wholesale Trade","42","wholesale-trade-42","42","Wholesale Trade","wholesale-trade"
"450000-490000","Natural resources, construction, & maintenance occupations","470000","Construction & Extraction Occupations","470000","Construction & Extraction Occupations","472061","Construction laborers",2018,"2018","true","true",2004,1099.0582397638975,40316.10429141716,11205.513377330753,14,"construction-laborers","Wholesale Trade","42","wholesale-trade-42","42","Wholesale Trade","wholesale-trade"
"110000-290000","Management, business, science, & arts occupations","110000-130000","Management, business, & financial occupations","130000","Business & financial operations occupations","131022","Wholesale & retail buyers, except farm products",2018,"2018","true","true",52616,5630.6332280406805,48763.89672343014,4596.824328301022,492,"wholesale-retail-buyers-except-farm-products","Wholesale Trade","42","wholesale-trade-42","42","Wholesale Trade","wholesale-trade"
"510000-530000","Production, Transportation, & Material Moving Occupations","530000","Transportation & Material Moving Occupations","531000-536000","Transportation Occupations","536030","Transportation service attendants",2018,"2018","true","true",3047,1355.209883122108,36524.32556613062,6985.511759131611,26,"transportation-service-attendants","Wholesale Trade","42","wholesale-trade-42","42","Wholesale Trade","wholesale-trade"
"510000-530000","Production, Transportation, & Material Moving Occupations","530000","Transportation & Material Moving Occupations","531000-536000","Transportation Occupations","536021","Parking lot attendants",2018,"2018","true","true",1301,885.5467985261566,21547.507302075326,7529.041801489172,12,"parking-lot-attendants","Wholesale Trade","42","wholesale-trade-42","42","Wholesale Trade","wholesale-trade"
"450000-490000","Natural resources, construction, & maintenance occupations","470000","Construction & Extraction Occupations","470000","Construction & Extraction Occupations","472070","Construction equipment operators",2018,"2018","true","true",2898,1321.6599809975312,45951.36059351277,10415.847930684435,24,"construction-equipment-operators","Wholesale Trade","42","wholesale-trade-42","42","Wholesale Trade","wholesale-trade"
"110000-290000","Management, business, science, & arts occupations","110000-130000","Management, business, & financial occupations","130000","Business & financial operations occupations","131023","Purchasing agents, except wholesale, retail, & farm products",2018,"2018","true","true",18567,3345.173583326131,61921.524101901225,8174.956531180555,186,"purchasing-agents-except-wholesale-retail-farm-products","Wholesale Trade","42","wholesale-trade-42","42","Wholesale Trade","wholesale-trade"
"410000-430000","Sales & Office Occupations","430000","Office & Administrative Support Occupations","430000","Office & Administrative Support Occupations","433031","Bookkeeping, accounting, & auditing clerks",2018,"2018","true","true",64906,6253.496194342259,42379.64685853388,2761.2251089888987,694,"bookkeeping-accounting-auditing-clerks","Wholesale Trade","42","wholesale-trade-42","42","Wholesale Trade","wholesale-trade"
"410000-430000","Sales & Office Occupations","430000","Office & Administrative Support Occupations","430000","Office & Administrative Support Occupations","433021","Billing & posting clerks",2018,"2018","true","true",14726,2979.1733013106705,42793.6762189325,5578.841861984871,154,"billing-posting-clerks","Wholesale Trade","42","wholesale-trade-42","42","Wholesale Trade","wholesale-trade"
"110000-290000","Management, business, science, & arts occupations","110000-130000","Management, business, & financial occupations","130000","Business & financial operations occupations","131041","Compliance officers",2018,"2018","true","true",4206,1592.2207662839894,78840.65002377555,17083.25102595879,41,"compliance-officers","Wholesale Trade","42","wholesale-trade-42","42","Wholesale Trade","wholesale-trade"
"510000-530000","Production, Transportation, & Material Moving Occupations","530000","Transportation & Material Moving Occupations","531000-536000","Transportation Occupations","5350XX","Sailors & marine oilers, & ship engineers",2018,"2018","true","true",840,711.5627119099603,66529.11547619048,44011.100698341404,6,"sailors-marine-oilers-ship-engineers","Wholesale Trade","42","wholesale-trade-42","42","Wholesale Trade","wholesale-trade"
"410000-430000","Sales & Office Occupations","430000","Office & Administrative Support Occupations","430000","Office & Administrative Support Occupations","433011","Bill & account collectors",2018,"2018","true","true",2398,1202.2529879122098,47887.84737281068,27017.038403246515,27,"bill-account-collectors","Wholesale Trade","42","wholesale-trade-42","42","Wholesale Trade","wholesale-trade"
"450000-490000","Natural resources, construction, & maintenance occupations","470000","Construction & Extraction Occupations","470000","Construction & Extraction Occupations","472111","Electricians",2018,"2018","true","true",4695,1682.2314100207518,63805.961235356765,12203.90356315238,41,"electricians","Wholesale Trade","42","wholesale-trade-42","42","Wholesale Trade","wholesale-trade"
"110000-290000","Management, business, science, & arts occupations","110000-130000","Management, business, & financial occupations","130000","Business & financial operations occupations","131051","Cost estimators",2018,"2018","true","true",3622,1477.5552211589195,64548.4607951408,13145.6096613876,45,"cost-estimators","Wholesale Trade","42","wholesale-trade-42","42","Wholesale Trade","wholesale-trade"
"510000-530000","Production, Transportation, & Material Moving Occupations","530000","Transportation & Material Moving Occupations","531000-536000","Transportation Occupations","533099","Motor vehicle operators, all other",2018,"2018","true","true",4625,1669.644109482818,12325.524756756757,5363.410690301183,55,"motor-vehicle-operators-all-other","Wholesale Trade","42","wholesale-trade-42","42","Wholesale Trade","wholesale-trade"
"410000-430000","Sales & Office Occupations","430000","Office & Administrative Support Occupations","430000","Office & Administrative Support Occupations","432099","Communications equipment operators, all other",2018,"2018","true","true",417,501.3513404789295,19622.98561151079,23974.306474013232,5,"communications-equipment-operators-all-other","Wholesale Trade","42","wholesale-trade-42","42","Wholesale Trade","wholesale-trade"
"110000-290000","Management, business, science, & arts occupations","110000-130000","Management, business, & financial occupations","130000","Business & financial operations occupations","131070","Human resources workers",2018,"2018","true","true",16445,3148.2398447242945,79947.06798418972,16752.0208031935,165,"human-resources-workers","Wholesale Trade","42","wholesale-trade-42","42","Wholesale Trade","wholesale-trade"
"410000-430000","Sales & Office Occupations","430000","Office & Administrative Support Occupations","430000","Office & Administrative Support Occupations","432021","Telephone operators",2018,"2018","true","true",479,537.3309044651885,36644.503131524005,6339.474596269583,5,"telephone-operators","Wholesale Trade","42","wholesale-trade-42","42","Wholesale Trade","wholesale-trade"
"450000-490000","Natural resources, construction, & maintenance occupations","470000","Construction & Extraction Occupations","470000","Construction & Extraction Occupations","472121","Glaziers",2018,"2018","true","true",920,744.6759636358175,34052.17391304348,9568.66316968334,11,"glaziers","Wholesale Trade","42","wholesale-trade-42","42","Wholesale Trade","wholesale-trade"
"110000-290000","Management, business, science, & arts occupations","110000-130000","Management, business, & financial occupations","130000","Business & financial operations occupations","131081","Logisticians",2018,"2018","true","true",9789,2429.0122478128555,47646.421493513124,5672.27080831635,91,"logisticians","Wholesale Trade","42","wholesale-trade-42","42","Wholesale Trade","wholesale-trade"
"110000-290000","Management, business, science, & arts occupations","110000-130000","Management, business, & financial occupations","130000","Business & financial operations occupations","131082","Project management specialists",2018,"2018","true","true",20397,3506.132136898246,96736.95165955777,13809.384761223408,204,"project-management-specialists","Wholesale Trade","42","wholesale-trade-42","42","Wholesale Trade","wholesale-trade"
"510000-530000","Production, Transportation, & Material Moving Occupations","530000","Transportation & Material Moving Occupations","531000-536000","Transportation Occupations","533053","Shuttle drivers and chauffeurs",2018,"2018","true","true",1153,833.6576458517311,45962.79531656548,17373.394242150705,6,"shuttle-drivers-and-chauffeurs","Wholesale Trade","42","wholesale-trade-42","42","Wholesale Trade","wholesale-trade"
"410000-430000","Sales & Office Occupations","430000","Office & Administrative Support Occupations","430000","Office & Administrative Support Occupations","431011","Firstline supervisors of office & administrative support workers",2018,"2018","true","true",38307,4804.610481236421,50145.80340407758,3581.069861467142,384,"firstline-supervisors-of-office-administrative-support-workers","Wholesale Trade","42","wholesale-trade-42","42","Wholesale Trade","wholesale-trade"
